Stock,Group,Direction
Alaska plaice,Flatfish,Neutral
Alaska skate,Elasmobranch,Neutral
Arrowtooth flounder,Flatfish,Neutral
Bristol Bay red king crab,Crab,Negative
Capelin,Forage,Negative
Chinook salmon,Salmon,Neutral
Chum salmon,Salmon,Neutral
Coho salmon,Salmon,Neutral
Commander skate,Elasmobranch,Neutral
Eastern Bering Sea Pacific cod,Gadid,Neutral
Eastern Bering Sea pollock,Gadid,Negative
Flathead sole,Flatfish,Neutral
Giant grenadier,Grenadier,Neutral
Giant Pacific octopus,Cephalopod,Neutral
Greenland turbot,Flatfish,Negative
Kamchatka flounder,Flatfish,Neutral
Magistrate armhook squid,Cephalopod,Neutral
Northern rock sole,Flatfish,Neutral
Norton Sound red king crab,Crab,Neutral
Pacific halibut,Flatfish,Neutral
Pacific ocean perch,Rockfish,Neutral
Pacific sleeper shark,Elasmobranch,Neutral
Pink salmon,Salmon,Neutral
Plain sculpin,Sculpin,Negative
Rougheye rockfish,Rockfish,Negative
Sablefish,Sablefish,Negative
Salmon shark,Elasmobranch,Neutral
Shortraker rockfish,Rockfish,Negative
Shortspine thornyhead,Rockfish,Neutral
Smoothskin octopus,Cephalopod,Neutral
Snow crab,Crab,Negative
Sockeye salmon,Salmon,Neutral
Starry flounder,Flatfish,Neutral
Tanner crab,Crab,Neutral
Togiak herring,Forage,Negative
Yellowfin sole,Flatfish,Neutral
